,UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3,ANS_Q4
0,42,1,3.0,-1.0,NULL,NULL
1,296,1,5.0,-1.0,NULL,NULL
2,1793,1,-1.0,6.0,NULL,NULL
3,2411,1,-1.0,1.0,NULL,NULL
4,2634,1,3.0,-1.0,NULL,NULL
5,2957,1,-1.0,2.0,NULL,NULL
6,3714,1,7.0,-1.0,NULL,NULL
7,4682,1,-1.0,3.0,NULL,NULL
8,5178,1,-1.0,8.0,NULL,NULL
9,6131,1,9.0,-1.0,NULL,NULL
10,7347,1,9.0,-1.0,NULL,NULL
11,8245,1,1.0,-1.0,NULL,NULL
12,8412,1,-1.0,3.0,NULL,NULL
13,9272,1,5.0,-1.0,NULL,NULL
14,9584,1,9.0,-1.0,NULL,NULL
15,10291,1,5.0,-1.0,NULL,NULL
16,10541,1,4.0,-1.0,NULL,NULL
17,10976,1,-1.0,5.0,NULL,NULL
18,12119,1,7.0,-1.0,NULL,NULL
19,12447,1,6.0,-1.0,NULL,NULL
20,13187,1,8.0,-1.0,NULL,NULL
21,15248,1,0.0,-1.0,NULL,NULL
22,15984,1,3.0,-1.0,NULL,NULL
23,16434,1,0.0,-1.0,NULL,NULL
24,17609,1,-1.0,6.0,NULL,NULL
25,18176,1,-1.0,6.0,NULL,NULL
26,18636,1,-1.0,1.0,NULL,NULL
27,18730,1,0.0,-1.0,NULL,NULL
28,19156,1,-1.0,3.0,NULL,NULL
29,19354,1,-1.0,5.0,NULL,NULL
30,19662,1,1.0,-1.0,NULL,NULL
31,20039,1,-1.0,8.0,NULL,NULL
32,20108,1,0.0,-1.0,NULL,NULL
33,21617,1,2.0,-1.0,NULL,NULL
34,22382,1,5.0,-1.0,NULL,NULL
35,22453,1,-1.0,0.0,NULL,NULL
36,22766,1,6.0,-1.0,NULL,NULL
37,24063,1,4.0,-1.0,NULL,NULL
38,24610,1,0.0,-1.0,NULL,NULL
39,25088,1,9.0,-1.0,NULL,NULL
40,25149,1,2.0,-1.0,NULL,NULL
